edHello.agents.Patient@99fa758 | total wait time: 35 | dealt at time point: 35.0
edHello.agents.Patient@1c47bf73 | total wait time: 5 | dealt at time point: 3177.0
edHello.agents.Patient@2bbd9ee1 | total wait time: 38 | dealt at time point: 3271.0
edHello.agents.Patient@240a6d75 | total wait time: 5 | dealt at time point: 3299.0
edHello.agents.Patient@7e782bcc | total wait time: 37 | dealt at time point: 3392.0
edHello.agents.Patient@320441e7 | total wait time: 5 | dealt at time point: 3422.0
edHello.agents.Patient@7a0b0b5 | total wait time: 38 | dealt at time point: 3516.0
edHello.agents.Patient@3d4073b0 | total wait time: 5 | dealt at time point: 3544.0
edHello.agents.Patient@ca6bd22 | total wait time: 36 | dealt at time point: 3635.0
edHello.agents.Patient@1a5209aa | total wait time: 4 | dealt at time point: 3665.0
edHello.agents.Patient@23cab3a0 | total wait time: 5 | dealt at time point: 3727.0
edHello.agents.Patient@3a49375c | total wait time: 6 | dealt at time point: 3789.0
edHello.agents.Patient@2b6009a2 | total wait time: 5 | dealt at time point: 3848.0
edHello.agents.Patient@2d8e4795 | total wait time: 36 | dealt at time point: 3941.0
edHello.agents.Patient@29e340ac | total wait time: 6 | dealt at time point: 3971.0
edHello.agents.Patient@6631aa55 | total wait time: 36 | dealt at time point: 4062.0
edHello.agents.Patient@562a734e | total wait time: 7 | dealt at time point: 4094.0
edHello.agents.Patient@173b7b11 | total wait time: 6 | dealt at time point: 4155.0
edHello.agents.Patient@22835754 | total wait time: 5 | dealt at time point: 4214.0
edHello.agents.Patient@1fb4e9d4 | total wait time: 5 | dealt at time point: 4276.0
edHello.agents.Patient@4148ed80 | total wait time: 5 | dealt at time point: 4336.0
edHello.agents.Patient@2b2d5dc3 | total wait time: 35 | dealt at time point: 4428.0
edHello.agents.Patient@32b671df | total wait time: 37 | dealt at time point: 4491.0
edHello.agents.Patient@361c9e97 | total wait time: 7 | dealt at time point: 4521.0
edHello.agents.Patient@39b85092 | total wait time: 36 | dealt at time point: 4611.0
edHello.agents.Patient@78aad137 | total wait time: 7 | dealt at time point: 4643.0
edHello.agents.Patient@25caddd5 | total wait time: 36 | dealt at time point: 4733.0
edHello.agents.Patient@655a4448 | total wait time: 6 | dealt at time point: 4764.0
edHello.agents.Patient@109097d1 | total wait time: 6 | dealt at time point: 4826.0
edHello.agents.Patient@709c8764 | total wait time: 5 | dealt at time point: 4885.0
edHello.agents.Patient@52ba514c | total wait time: 34 | dealt at time point: 4976.0
edHello.agents.Patient@7a1fa8b2 | total wait time: 6 | dealt at time point: 5008.0
edHello.agents.Patient@743da69 | total wait time: 6 | dealt at time point: 5069.0
edHello.agents.Patient@7a307c8c | total wait time: 4 | dealt at time point: 5129.0
edHello.agents.Patient@6ba5dcfe | total wait time: 39 | dealt at time point: 5224.0
edHello.agents.Patient@67f07684 | total wait time: 35 | dealt at time point: 5281.0
edHello.agents.Patient@4d21ffc6 | total wait time: 6 | dealt at time point: 5314.0
edHello.agents.Patient@45abef1a | total wait time: 5 | dealt at time point: 5374.0
edHello.agents.Patient@42c15c6c | total wait time: 6 | dealt at time point: 5435.0
edHello.agents.Patient@6a6b4245 | total wait time: 36 | dealt at time point: 5526.0
edHello.agents.Patient@5fe6d236 | total wait time: 6 | dealt at time point: 5558.0
edHello.agents.Patient@1518aa75 | total wait time: 6 | dealt at time point: 5619.0
edHello.agents.Patient@298e3e6e | total wait time: 35 | dealt at time point: 5709.0
edHello.agents.Patient@3e74535d | total wait time: 4 | dealt at time point: 5739.0
edHello.agents.Patient@7c00c4da | total wait time: 35 | dealt at time point: 5831.0
edHello.agents.Patient@55994841 | total wait time: 5 | dealt at time point: 5862.0
edHello.agents.Patient@11a80f63 | total wait time: 5 | dealt at time point: 5923.0
edHello.agents.Patient@27fc5dda | total wait time: 37 | dealt at time point: 6016.0
edHello.agents.Patient@397fdecf | total wait time: 37 | dealt at time point: 6077.0
edHello.agents.Patient@be2ff80 | total wait time: 6 | dealt at time point: 6107.0
edHello.agents.Patient@57b8e373 | total wait time: 5 | dealt at time point: 6167.0
edHello.agents.Patient@325e53bc | total wait time: 5 | dealt at time point: 6227.0
edHello.agents.Patient@6e176e85 | total wait time: 39 | dealt at time point: 6322.0
edHello.agents.Patient@2fdc7b69 | total wait time: 6 | dealt at time point: 6350.0
edHello.agents.Patient@49ac95cc | total wait time: 39 | dealt at time point: 6444.0
edHello.agents.Patient@31b54cc5 | total wait time: 36 | dealt at time point: 6503.0
edHello.agents.Patient@403dd93d | total wait time: 6 | dealt at time point: 6533.0
edHello.agents.Patient@5a46d153 | total wait time: 4 | dealt at time point: 6593.0
edHello.agents.Patient@481e3751 | total wait time: 5 | dealt at time point: 6654.0
edHello.agents.Patient@7588a6f6 | total wait time: 6 | dealt at time point: 6717.0
edHello.agents.Patient@26de7b8f | total wait time: 37 | dealt at time point: 6809.0
edHello.agents.Patient@471999ce | total wait time: 36 | dealt at time point: 6869.0
edHello.agents.Patient@784c9559 | total wait time: 5 | dealt at time point: 6898.0
edHello.agents.Patient@34065725 | total wait time: 5 | dealt at time point: 6960.0
edHello.agents.Patient@61d59ad2 | total wait time: 5 | dealt at time point: 7021.0
edHello.agents.Patient@490ed92 | total wait time: 7 | dealt at time point: 7083.0
edHello.agents.Patient@57b4a577 | total wait time: 36 | dealt at time point: 7174.0
edHello.agents.Patient@78be773d | total wait time: 6 | dealt at time point: 7205.0
edHello.agents.Patient@351a7f5d | total wait time: 6 | dealt at time point: 7265.0
edHello.agents.Patient@1d4f4f01 | total wait time: 6 | dealt at time point: 7326.0
edHello.agents.Patient@1e34fbe8 | total wait time: 5 | dealt at time point: 7387.0
edHello.agents.Patient@7a73145 | total wait time: 5 | dealt at time point: 7448.0
edHello.agents.Patient@6e0970ed | total wait time: 6 | dealt at time point: 7509.0
edHello.agents.Patient@1038f8c8 | total wait time: 36 | dealt at time point: 7600.0
edHello.agents.Patient@468fc479 | total wait time: 5 | dealt at time point: 7630.0
edHello.agents.Patient@14ba55d4 | total wait time: 35 | dealt at time point: 7721.0
edHello.agents.Patient@2dc4248a | total wait time: 7 | dealt at time point: 7754.0
edHello.agents.Patient@3dbfd3 | total wait time: 38 | dealt at time point: 7846.0
edHello.agents.Patient@2b58da46 | total wait time: 6 | dealt at time point: 7875.0
edHello.agents.Patient@50c14be3 | total wait time: 5 | dealt at time point: 7936.0
edHello.agents.Patient@30b7a3f | total wait time: 36 | dealt at time point: 8028.0
edHello.agents.Patient@6beb714c | total wait time: 5 | dealt at time point: 8057.0
edHello.agents.Patient@10d8f512 | total wait time: 36 | dealt at time point: 8150.0
edHello.agents.Patient@42da0bc6 | total wait time: 4 | dealt at time point: 8179.0
edHello.agents.Patient@58d1717d | total wait time: 5 | dealt at time point: 8241.0
edHello.agents.Patient@9088121 | total wait time: 6 | dealt at time point: 8302.0
edHello.agents.Patient@585c98ac | total wait time: 36 | dealt at time point: 8393.0
edHello.agents.Patient@2d475468 | total wait time: 5 | dealt at time point: 8423.0
edHello.agents.Patient@4a893d3 | total wait time: 38 | dealt at time point: 8517.0
edHello.agents.Patient@60be0950 | total wait time: 5 | dealt at time point: 8545.0
edHello.agents.Patient@4613d547 | total wait time: 4 | dealt at time point: 8606.0
edHello.agents.Patient@4f9b3595 | total wait time: 36 | dealt at time point: 8699.0
edHello.agents.Patient@61507aaa | total wait time: 7 | dealt at time point: 8730.0
edHello.agents.Patient@5a946870 | total wait time: 36 | dealt at time point: 8821.0
edHello.agents.Patient@919203f | total wait time: 7 | dealt at time point: 8852.0
edHello.agents.Patient@47f4e616 | total wait time: 6 | dealt at time point: 8913.0
edHello.agents.Patient@59e8ab1c | total wait time: 4 | dealt at time point: 8972.0
edHello.agents.Patient@6d3430a0 | total wait time: 6 | dealt at time point: 9034.0
edHello.agents.Patient@e6595a9 | total wait time: 34 | dealt at time point: 9124.0
edHello.agents.Patient@1b923ff3 | total wait time: 36 | dealt at time point: 9186.0
edHello.agents.Patient@4decf266 | total wait time: 5 | dealt at time point: 9217.0
edHello.agents.Patient@60b81d47 | total wait time: 6 | dealt at time point: 9278.0
edHello.agents.Patient@4a4b56f2 | total wait time: 35 | dealt at time point: 9368.0
edHello.agents.Patient@200ef6f1 | total wait time: 6 | dealt at time point: 9400.0
edHello.agents.Patient@7715a222 | total wait time: 5 | dealt at time point: 9460.0
edHello.agents.Patient@500a97f7 | total wait time: 36 | dealt at time point: 9553.0
edHello.agents.Patient@47cefee4 | total wait time: 5 | dealt at time point: 9583.0
edHello.agents.Patient@52b5c806 | total wait time: 5 | dealt at time point: 9643.0
edHello.agents.Patient@29578d2b | total wait time: 35 | dealt at time point: 9735.0
edHello.agents.Patient@21d0f04d | total wait time: 6 | dealt at time point: 9766.0
edHello.agents.Patient@13fd03bb | total wait time: 38 | dealt at time point: 9860.0
edHello.agents.Patient@718fc3ea | total wait time: 5 | dealt at time point: 9888.0
edHello.agents.Patient@7da8aa52 | total wait time: 6 | dealt at time point: 9949.0
edHello.agents.Patient@60cb6156 | total wait time: 37 | dealt at time point: 10041.0
edHello.agents.Patient@34bb6e4d | total wait time: 34 | dealt at time point: 10100.0
edHello.agents.Patient@613ece8b | total wait time: 35 | dealt at time point: 10161.0
edHello.agents.Patient@67535cd6 | total wait time: 6 | dealt at time point: 10194.0
edHello.agents.Patient@186694 | total wait time: 6 | dealt at time point: 10254.0
edHello.agents.Patient@1fd71b87 | total wait time: 35 | dealt at time point: 10345.0
edHello.agents.Patient@7c7b1b22 | total wait time: 7 | dealt at time point: 10377.0
edHello.agents.Patient@52cf9ed4 | total wait time: 5 | dealt at time point: 10437.0
edHello.agents.Patient@de31869 | total wait time: 6 | dealt at time point: 10498.0
edHello.agents.Patient@3dc18bb5 | total wait time: 7 | dealt at time point: 10560.0
edHello.agents.Patient@132222b9 | total wait time: 6 | dealt at time point: 10621.0
edHello.agents.Patient@46a5e503 | total wait time: 5 | dealt at time point: 10681.0
edHello.agents.Patient@2e782f29 | total wait time: 7 | dealt at time point: 10743.0
edHello.agents.Patient@33256bfe | total wait time: 37 | dealt at time point: 10835.0
edHello.agents.Patient@409f055c | total wait time: 36 | dealt at time point: 10894.0
edHello.agents.Patient@267e3b64 | total wait time: 5 | dealt at time point: 10924.0
edHello.agents.Patient@5ef14a06 | total wait time: 6 | dealt at time point: 10986.0
edHello.agents.Patient@389cb6a9 | total wait time: 6 | dealt at time point: 11047.0
edHello.agents.Patient@726b8827 | total wait time: 35 | dealt at time point: 11138.0
edHello.agents.Patient@64edca84 | total wait time: 36 | dealt at time point: 11199.0
edHello.agents.Patient@19bc0725 | total wait time: 4 | dealt at time point: 11229.0
edHello.agents.Patient@589ef2a4 | total wait time: 6 | dealt at time point: 11291.0
edHello.agents.Patient@4910eea8 | total wait time: 35 | dealt at time point: 11381.0
edHello.agents.Patient@145d2eb4 | total wait time: 5 | dealt at time point: 11413.0
edHello.agents.Patient@29df088c | total wait time: 6 | dealt at time point: 11474.0
edHello.agents.Patient@78a2c771 | total wait time: 5 | dealt at time point: 11534.0
edHello.agents.Patient@51c3de0b | total wait time: 36 | dealt at time point: 11627.0
edHello.agents.Patient@113d3c06 | total wait time: 6 | dealt at time point: 11657.0
edHello.agents.Patient@64b27617 | total wait time: 35 | dealt at time point: 11748.0
edHello.agents.Patient@2d587b5f | total wait time: 6 | dealt at time point: 11779.0
edHello.agents.Patient@3ef73099 | total wait time: 37 | dealt at time point: 11871.0
edHello.agents.Patient@33fccd18 | total wait time: 7 | dealt at time point: 11902.0
edHello.agents.Patient@3935ef8 | total wait time: 6 | dealt at time point: 11962.0
edHello.agents.Patient@597f4825 | total wait time: 36 | dealt at time point: 12054.0
edHello.agents.Patient@26d45a13 | total wait time: 5 | dealt at time point: 12084.0
edHello.agents.Patient@10a8158b | total wait time: 4 | dealt at time point: 12144.0
edHello.agents.Patient@3ad80b2f | total wait time: 5 | dealt at time point: 12206.0
edHello.agents.Patient@63851342 | total wait time: 7 | dealt at time point: 12268.0
edHello.agents.Patient@41436312 | total wait time: 36 | dealt at time point: 12359.0
edHello.agents.Patient@6bc758b9 | total wait time: 35 | dealt at time point: 12419.0
edHello.agents.Patient@1388164 | total wait time: 6 | dealt at time point: 12451.0
edHello.agents.Patient@74510417 | total wait time: 6 | dealt at time point: 12511.0
edHello.agents.Patient@708bad76 | total wait time: 5 | dealt at time point: 12572.0
edHello.agents.Patient@4a7cb89 | total wait time: 5 | dealt at time point: 12633.0
edHello.agents.Patient@2648152a | total wait time: 5 | dealt at time point: 12694.0
edHello.agents.Patient@3d69c7e6 | total wait time: 6 | dealt at time point: 12755.0
edHello.agents.Patient@38bfa5f2 | total wait time: 37 | dealt at time point: 12848.0
edHello.agents.Patient@718276ee | total wait time: 4 | dealt at time point: 12876.0
edHello.agents.Patient@37b5ad71 | total wait time: 6 | dealt at time point: 12939.0
edHello.agents.Patient@38e848e2 | total wait time: 38 | dealt at time point: 13031.0
edHello.agents.Patient@74493ee8 | total wait time: 6 | dealt at time point: 13060.0
edHello.agents.Patient@3c4866d4 | total wait time: 6 | dealt at time point: 13121.0
edHello.agents.Patient@581bd6ce | total wait time: 34 | dealt at time point: 13210.0
edHello.agents.Patient@3af56874 | total wait time: 6 | dealt at time point: 13243.0
edHello.agents.Patient@56c0d358 | total wait time: 5 | dealt at time point: 13304.0
edHello.agents.Patient@4febf0f9 | total wait time: 5 | dealt at time point: 13365.0
edHello.agents.Patient@7d7ecfca | total wait time: 36 | dealt at time point: 13457.0
edHello.agents.Patient@7d27977d | total wait time: 35 | dealt at time point: 13517.0
edHello.agents.Patient@72a0cf60 | total wait time: 5 | dealt at time point: 13548.0
edHello.agents.Patient@39f9b323 | total wait time: 6 | dealt at time point: 13610.0
edHello.agents.Patient@8ccd441 | total wait time: 4 | dealt at time point: 13669.0
edHello.agents.Patient@183103d | total wait time: 38 | dealt at time point: 13764.0
edHello.agents.Patient@3846085e | total wait time: 35 | dealt at time point: 13822.0
edHello.agents.Patient@455689f8 | total wait time: 7 | dealt at time point: 13854.0
edHello.agents.Patient@5dc1516b | total wait time: 6 | dealt at time point: 13914.0
edHello.agents.Patient@7b7328c2 | total wait time: 4 | dealt at time point: 13974.0
edHello.agents.Patient@fa9d610 | total wait time: 6 | dealt at time point: 14036.0
edHello.agents.Patient@6c649ea7 | total wait time: 5 | dealt at time point: 14096.0
edHello.agents.Patient@62331100 | total wait time: 7 | dealt at time point: 14159.0
edHello.agents.Patient@5a74d1d | total wait time: 35 | dealt at time point: 14249.0
edHello.agents.Patient@9590b4d | total wait time: 6 | dealt at time point: 14281.0
edHello.agents.Patient@30bc1c13 | total wait time: 5 | dealt at time point: 14341.0
edHello.agents.Patient@39e3b14 | total wait time: 35 | dealt at time point: 14431.0
edHello.agents.Patient@24f80adf | total wait time: 5 | dealt at time point: 14463.0
edHello.agents.Patient@344fb06f | total wait time: 4 | dealt at time point: 14523.0
edHello.agents.Patient@47b9cb14 | total wait time: 36 | dealt at time point: 14616.0
edHello.agents.Patient@957dd73 | total wait time: 4 | dealt at time point: 14645.0
edHello.agents.Patient@75da273b | total wait time: 38 | dealt at time point: 14739.0
edHello.agents.Patient@3694d633 | total wait time: 6 | dealt at time point: 14769.0
edHello.agents.Patient@4f02ba2 | total wait time: 6 | dealt at time point: 14829.0
edHello.agents.Patient@2b6c846a | total wait time: 7 | dealt at time point: 14891.0
edHello.agents.Patient@1957ad66 | total wait time: 34 | dealt at time point: 14980.0
edHello.agents.Patient@7a2237ff | total wait time: 6 | dealt at time point: 15013.0
edHello.agents.Patient@5113cb89 | total wait time: 36 | dealt at time point: 15104.0
edHello.agents.Patient@22726f57 | total wait time: 6 | dealt at time point: 15135.0
edHello.agents.Patient@24e99bcd | total wait time: 35 | dealt at time point: 15225.0
edHello.agents.Patient@102328ec | total wait time: 6 | dealt at time point: 15256.0
edHello.agents.Patient@4dfd72fe | total wait time: 6 | dealt at time point: 15318.0
edHello.agents.Patient@7182456d | total wait time: 36 | dealt at time point: 15408.0
edHello.agents.Patient@5ba9593b | total wait time: 37 | dealt at time point: 15470.0
edHello.agents.Patient@367745c2 | total wait time: 6 | dealt at time point: 15501.0
edHello.agents.Patient@3583952c | total wait time: 34 | dealt at time point: 15590.0
edHello.agents.Patient@32ca667a | total wait time: 6 | dealt at time point: 15623.0
edHello.agents.Patient@6effdecc | total wait time: 37 | dealt at time point: 15714.0
edHello.agents.Patient@2b203ef | total wait time: 6 | dealt at time point: 15744.0
edHello.agents.Patient@77fa892f | total wait time: 6 | dealt at time point: 15805.0
edHello.agents.Patient@189871b0 | total wait time: 4 | dealt at time point: 15865.0
edHello.agents.Patient@56934d24 | total wait time: 5 | dealt at time point: 15926.0
edHello.agents.Patient@17361d74 | total wait time: 36 | dealt at time point: 16019.0
edHello.agents.Patient@6d5969fd | total wait time: 6 | dealt at time point: 16050.0
edHello.agents.Patient@39eef0aa | total wait time: 6 | dealt at time point: 16110.0
edHello.agents.Patient@66381517 | total wait time: 33 | dealt at time point: 16199.0
edHello.agents.Patient@5b5d14df | total wait time: 5 | dealt at time point: 16232.0
edHello.agents.Patient@1e90ada6 | total wait time: 35 | dealt at time point: 16322.0
edHello.agents.Patient@637ea920 | total wait time: 37 | dealt at time point: 16385.0
edHello.agents.Patient@7119056 | total wait time: 6 | dealt at time point: 16416.0
edHello.agents.Patient@247be469 | total wait time: 34 | dealt at time point: 16505.0
edHello.agents.Patient@4784f65a | total wait time: 35 | dealt at time point: 16567.0
edHello.agents.Patient@66d8cabb | total wait time: 36 | dealt at time point: 16629.0
edHello.agents.Patient@327f1ae2 | total wait time: 5 | dealt at time point: 16659.0
edHello.agents.Patient@6beee5a5 | total wait time: 5 | dealt at time point: 16720.0
edHello.agents.Patient@30c42f8a | total wait time: 6 | dealt at time point: 16781.0
edHello.agents.Patient@2d39d986 | total wait time: 37 | dealt at time point: 16873.0
edHello.agents.Patient@594ad538 | total wait time: 36 | dealt at time point: 16934.0
edHello.agents.Patient@4ea3ce4f | total wait time: 35 | dealt at time point: 16994.0
edHello.agents.Patient@27881e39 | total wait time: 5 | dealt at time point: 17024.0
edHello.agents.Patient@441cfd02 | total wait time: 35 | dealt at time point: 17115.0
edHello.agents.Patient@7faf2ab2 | total wait time: 5 | dealt at time point: 17146.0
edHello.agents.Patient@696b041d | total wait time: 36 | dealt at time point: 17238.0
edHello.agents.Patient@667e0f7f | total wait time: 6 | dealt at time point: 17270.0
edHello.agents.Patient@1571b319 | total wait time: 36 | dealt at time point: 17361.0
edHello.agents.Patient@25b097c | total wait time: 6 | dealt at time point: 17392.0
edHello.agents.Patient@6e1c0df8 | total wait time: 6 | dealt at time point: 17452.0
edHello.agents.Patient@6cad6ad8 | total wait time: 38 | dealt at time point: 17545.0
edHello.agents.Patient@22983c2c | total wait time: 38 | dealt at time point: 17606.0
edHello.agents.Patient@6b7b3767 | total wait time: 35 | dealt at time point: 17664.0
edHello.agents.Patient@165cea77 | total wait time: 7 | dealt at time point: 17697.0
edHello.agents.Patient@1a6a0f15 | total wait time: 36 | dealt at time point: 17787.0
edHello.agents.Patient@3519a01a | total wait time: 5 | dealt at time point: 17817.0
edHello.agents.Patient@1b1e6321 | total wait time: 5 | dealt at time point: 17879.0
edHello.agents.Patient@65a9c0dd | total wait time: 5 | dealt at time point: 17939.0
edHello.agents.Patient@510bde18 | total wait time: 6 | dealt at time point: 18001.0
edHello.agents.Patient@609847fb | total wait time: 6 | dealt at time point: 18063.0
edHello.agents.Patient@5d76d5f4 | total wait time: 38 | dealt at time point: 18156.0
edHello.agents.Patient@3b6b77bd | total wait time: 4 | dealt at time point: 18183.0
edHello.agents.Patient@1c78e1e4 | total wait time: 38 | dealt at time point: 18278.0
edHello.agents.Patient@59ea7e33 | total wait time: 5 | dealt at time point: 18306.0
edHello.agents.Patient@50facdd3 | total wait time: 5 | dealt at time point: 18367.0
edHello.agents.Patient@543e08ea | total wait time: 7 | dealt at time point: 18429.0
edHello.agents.Patient@541c8aa7 | total wait time: 38 | dealt at time point: 18522.0
edHello.agents.Patient@4c53e347 | total wait time: 5 | dealt at time point: 18549.0
edHello.agents.Patient@13939316 | total wait time: 35 | dealt at time point: 18641.0
edHello.agents.Patient@56472ac5 | total wait time: 35 | dealt at time point: 18702.0
edHello.agents.Patient@5a153a5 | total wait time: 37 | dealt at time point: 18765.0
edHello.agents.Patient@40d168f2 | total wait time: 6 | dealt at time point: 18795.0
edHello.agents.Patient@68fc0bb | total wait time: 36 | dealt at time point: 18886.0
edHello.agents.Patient@3b80f18f | total wait time: 35 | dealt at time point: 18946.0
edHello.agents.Patient@69620585 | total wait time: 36 | dealt at time point: 19008.0
edHello.agents.Patient@63251329 | total wait time: 6 | dealt at time point: 19038.0
edHello.agents.Patient@41c78ff3 | total wait time: 36 | dealt at time point: 19130.0
edHello.agents.Patient@46e96366 | total wait time: 5 | dealt at time point: 19160.0
edHello.agents.Patient@5ec1146b | total wait time: 4 | dealt at time point: 19220.0
edHello.agents.Patient@2f2178fd | total wait time: 35 | dealt at time point: 19311.0
edHello.agents.Patient@49763c43 | total wait time: 6 | dealt at time point: 19343.0
edHello.agents.Patient@76027928 | total wait time: 36 | dealt at time point: 19435.0
edHello.agents.Patient@30fe50ac | total wait time: 35 | dealt at time point: 19495.0
edHello.agents.Patient@6b51a1c1 | total wait time: 38 | dealt at time point: 19559.0
edHello.agents.Patient@77c3e1b7 | total wait time: 4 | dealt at time point: 19586.0
edHello.agents.Patient@7821ce92 | total wait time: 7 | dealt at time point: 19649.0
edHello.agents.Patient@3b4bb424 | total wait time: 38 | dealt at time point: 19741.0
edHello.agents.Patient@5680c17d | total wait time: 7 | dealt at time point: 19771.0
edHello.agents.Patient@3df0e90e | total wait time: 5 | dealt at time point: 19831.0
edHello.agents.Patient@7a6e3cf9 | total wait time: 4 | dealt at time point: 19891.0
edHello.agents.Patient@729174e6 | total wait time: 37 | dealt at time point: 19985.0
edHello.agents.Patient@13f6ac54 | total wait time: 36 | dealt at time point: 20045.0
edHello.agents.Patient@6481e0f6 | total wait time: 7 | dealt at time point: 20076.0
edHello.agents.Patient@7e1a1689 | total wait time: 6 | dealt at time point: 20136.0
edHello.agents.Patient@3449c151 | total wait time: 5 | dealt at time point: 20197.0
edHello.agents.Patient@631f896f | total wait time: 39 | dealt at time point: 20291.0
edHello.agents.Patient@2995d275 | total wait time: 6 | dealt at time point: 20320.0
edHello.agents.Patient@482d7451 | total wait time: 38 | dealt at time point: 20413.0
edHello.agents.Patient@8850558 | total wait time: 37 | dealt at time point: 20472.0
edHello.agents.Patient@7727fcea | total wait time: 5 | dealt at time point: 20501.0
edHello.agents.Patient@75aa659f | total wait time: 5 | dealt at time point: 20562.0
edHello.agents.Patient@4ef8e25c | total wait time: 38 | dealt at time point: 20656.0
edHello.agents.Patient@2b55bd1f | total wait time: 7 | dealt at time point: 20686.0
edHello.agents.Patient@c59962b | total wait time: 5 | dealt at time point: 20746.0
edHello.agents.Patient@7804e1d1 | total wait time: 5 | dealt at time point: 20806.0
edHello.agents.Patient@58920326 | total wait time: 5 | dealt at time point: 20867.0
edHello.agents.Patient@c51fa13 | total wait time: 36 | dealt at time point: 20960.0
edHello.agents.Patient@5393190c | total wait time: 7 | dealt at time point: 20991.0
edHello.agents.Patient@203affc1 | total wait time: 7 | dealt at time point: 21052.0
edHello.agents.Patient@32069999 | total wait time: 35 | dealt at time point: 21142.0
edHello.agents.Patient@77d9f232 | total wait time: 37 | dealt at time point: 21205.0
edHello.agents.Patient@613b14bb | total wait time: 5 | dealt at time point: 21234.0
edHello.agents.Patient@430ebbb | total wait time: 37 | dealt at time point: 21326.0
edHello.agents.Patient@6d51ae42 | total wait time: 35 | dealt at time point: 21385.0
edHello.agents.Patient@2fd5199b | total wait time: 5 | dealt at time point: 21417.0
edHello.agents.Patient@1bed02b8 | total wait time: 5 | dealt at time point: 21478.0
edHello.agents.Patient@6e0d5da6 | total wait time: 36 | dealt at time point: 21570.0
edHello.agents.Patient@dd534d | total wait time: 5 | dealt at time point: 21599.0
edHello.agents.Patient@4ab3448f | total wait time: 6 | dealt at time point: 21661.0
edHello.agents.Patient@5a3c0244 | total wait time: 35 | dealt at time point: 21751.0
edHello.agents.Patient@20d0f536 | total wait time: 37 | dealt at time point: 21814.0
edHello.agents.Patient@39611a81 | total wait time: 5 | dealt at time point: 21844.0
edHello.agents.Patient@2b9b28ec | total wait time: 6 | dealt at time point: 21905.0
edHello.agents.Patient@4230c218 | total wait time: 6 | dealt at time point: 21967.0
edHello.agents.Patient@16723a52 | total wait time: 37 | dealt at time point: 22058.0
edHello.agents.Patient@7ecf6c00 | total wait time: 6 | dealt at time point: 22088.0
edHello.agents.Patient@5c8b4b15 | total wait time: 6 | dealt at time point: 22149.0
edHello.agents.Patient@47e64c6a | total wait time: 36 | dealt at time point: 22241.0
edHello.agents.Patient@7fe8025d | total wait time: 37 | dealt at time point: 22303.0
edHello.agents.Patient@3ed3e98 | total wait time: 6 | dealt at time point: 22332.0
edHello.agents.Patient@7e344922 | total wait time: 6 | dealt at time point: 22394.0
edHello.agents.Patient@12d1467e | total wait time: 7 | dealt at time point: 22455.0
edHello.agents.Patient@2dd5b1c4 | total wait time: 6 | dealt at time point: 22516.0
edHello.agents.Patient@295d5c54 | total wait time: 6 | dealt at time point: 22577.0
edHello.agents.Patient@64cce398 | total wait time: 38 | dealt at time point: 22669.0
edHello.agents.Patient@63a79bd4 | total wait time: 37 | dealt at time point: 22729.0
edHello.agents.Patient@5a29d9b4 | total wait time: 7 | dealt at time point: 22760.0
edHello.agents.Patient@486e6382 | total wait time: 35 | dealt at time point: 22849.0
edHello.agents.Patient@7947caf2 | total wait time: 5 | dealt at time point: 22880.0
edHello.agents.Patient@15c190d1 | total wait time: 38 | dealt at time point: 22974.0
edHello.agents.Patient@7b3fd115 | total wait time: 6 | dealt at time point: 23004.0
edHello.agents.Patient@600c38d | total wait time: 6 | dealt at time point: 23064.0
edHello.agents.Patient@31d0a801 | total wait time: 4 | dealt at time point: 23124.0
edHello.agents.Patient@743209f1 | total wait time: 5 | dealt at time point: 23185.0
edHello.agents.Patient@47555eda | total wait time: 4 | dealt at time point: 23246.0
edHello.agents.Patient@52f1ea9b | total wait time: 4 | dealt at time point: 23307.0
edHello.agents.Patient@4a3dcee | total wait time: 6 | dealt at time point: 23369.0
edHello.agents.Patient@16c883df | total wait time: 5 | dealt at time point: 23430.0
edHello.agents.Patient@58a0eca7 | total wait time: 36 | dealt at time point: 23522.0
edHello.agents.Patient@3070638c | total wait time: 34 | dealt at time point: 23581.0
edHello.agents.Patient@58c1c519 | total wait time: 5 | dealt at time point: 23613.0
edHello.agents.Patient@3816b597 | total wait time: 6 | dealt at time point: 23674.0
edHello.agents.Patient@7b1a1283 | total wait time: 5 | dealt at time point: 23735.0
edHello.agents.Patient@125ea84d | total wait time: 6 | dealt at time point: 23796.0
edHello.agents.Patient@29d29d3d | total wait time: 5 | dealt at time point: 23857.0
edHello.agents.Patient@445ba90e | total wait time: 35 | dealt at time point: 23947.0
edHello.agents.Patient@2ea5f63b | total wait time: 36 | dealt at time point: 24009.0
edHello.agents.Patient@7a8d1d0 | total wait time: 36 | dealt at time point: 24070.0
edHello.agents.Patient@7031ce47 | total wait time: 6 | dealt at time point: 24102.0
edHello.agents.Patient@4d2e0985 | total wait time: 4 | dealt at time point: 24161.0
edHello.agents.Patient@19e41138 | total wait time: 5 | dealt at time point: 24223.0
edHello.agents.Patient@2f822860 | total wait time: 6 | dealt at time point: 24284.0
edHello.agents.Patient@326bbbf3 | total wait time: 6 | dealt at time point: 24345.0
edHello.agents.Patient@2dccd898 | total wait time: 38 | dealt at time point: 24439.0
edHello.agents.Patient@155c9fb0 | total wait time: 5 | dealt at time point: 24466.0
